account_id,customer_id,open_date,credit_limit,apr,utilization,current_balance,status
81,81,2023-03-13,2286.87,0.2512,0.6177,1412.56,ACTIVE
82,82,2021-11-18,1895.58,0.2863,0.6113,1158.79,ACTIVE
83,83,2023-05-12,4176.99,0.2639,0.2876,1201.27,ACTIVE
84,84,2019-08-01,6711.66,0.2186,0.4644,3116.96,ACTIVE
85,85,2024-10-03,5556.13,0.2506,0.5269,2927.4,ACTIVE
86,86,2024-04-06,5556.15,0.2167,0.5398,2999.49,ACTIVE
87,87,2020-01-28,3441.73,0.2428,0.1797,618.58,ACTIVE
88,88,2019-08-31,9865.32,0.1751,0.186,1834.85,CLOSED
89,89,2021-10-19,3484.88,0.2185,0.2457,856.33,ACTIVE
90,90,2020-10-24,4037.72,0.2381,0.2665,1075.88,ACTIVE
91,91,2020-12-23,6262.49,0.2501,0.0853,534.38,ACTIVE
92,92,2017-08-11,2288.18,0.2534,0.3525,806.56,ACTIVE
93,93,2020-08-25,5722.23,0.2323,0.5403,3091.51,ACTIVE
94,94,2016-09-15,4683.33,0.2291,0.5146,2409.9,ACTIVE
95,95,2022-11-13,6803.59,0.2021,0.2815,1915.13,ACTIVE
96,96,2023-02-11,6315.77,0.26,0.243,1534.73,ACTIVE
97,97,2021-01-22,7339.86,0.2127,0.2093,1536.02,ACTIVE
98,98,2024-04-06,5465.96,0.2003,0.2782,1520.76,ACTIVE
99,99,2018-06-07,3576.11,0.2041,0.1979,707.69,ACTIVE
100,100,2021-03-23,9652.9,0.2015,0.2644,2552.57,ACTIVE
101,101,2021-06-21,5826.88,0.2211,0.3358,1956.88,ACTIVE
102,102,2019-09-30,4197.63,0.2816,0.5551,2329.94,ACTIVE
103,103,2024-04-06,3319.73,0.2579,0.5055,1678.28,ACTIVE
104,104,2021-04-22,4027.48,0.2103,0.3178,1279.99,ACTIVE
105,105,2015-06-23,6093.41,0.2106,0.2139,1303.26,ACTIVE
106,106,2018-11-04,5406.54,0.1971,0.4221,2282.35,ACTIVE
107,107,2019-06-02,8685.24,0.2119,0.2301,1998.84,ACTIVE
108,108,2020-01-28,9368.28,0.19,0.2976,2787.81,ACTIVE
109,109,2020-05-27,6256.44,0.2045,0.2551,1596.11,ACTIVE
110,110,2015-10-21,6825.5,0.2218,0.4183,2854.96,ACTIVE
111,111,2015-11-20,3396.71,0.2779,0.5589,1898.39,ACTIVE
112,112,2020-12-23,3717.04,0.1927,0.3869,1438.05,ACTIVE
113,113,2015-12-20,5331.49,0.2119,0.3131,1669.12,ACTIVE
114,114,2024-04-06,5305.55,0.2115,0.3947,2093.85,ACTIVE
115,115,2021-11-18,3731.39,0.2534,0.381,1421.78,ACTIVE
116,116,2022-01-17,4039.01,0.2135,0.3761,1519.07,ACTIVE
117,117,2018-03-09,6647.03,0.1865,0.208,1382.44,ACTIVE
118,118,2019-02-02,5406.96,0.2398,0.6415,3468.58,ACTIVE
119,119,2020-05-27,1617.3,0.2781,0.4353,704.07,ACTIVE
120,120,2022-07-16,4646.12,0.2056,0.2341,1087.61,ACTIVE
121,121,2020-01-28,3895.79,0.2552,0.2625,1022.63,ACTIVE
122,122,2022-05-17,8449.73,0.2105,0.2209,1866.75,ACTIVE
123,123,2020-02-27,9268.33,0.2258,0.3562,3300.97,ACTIVE
124,124,2021-09-19,6804.79,0.2625,0.5747,3910.42,ACTIVE
125,125,2016-04-18,8735.29,0.2283,0.3941,3442.79,ACTIVE
126,126,2017-09-10,3862.63,0.2295,0.453,1749.69,ACTIVE
127,127,2023-04-12,4795.24,0.1979,0.3159,1514.8,ACTIVE
128,128,2015-10-21,6111.85,0.231,0.3689,2254.62,ACTIVE
129,129,2018-07-07,5665.38,0.2517,0.3172,1797.04,ACTIVE
130,130,2021-07-21,5106.14,0.2746,0.5167,2638.24,ACTIVE
131,131,2019-10-30,3631.63,0.2125,0.3907,1418.86,ACTIVE
132,132,2023-02-11,10071.03,0.2236,0.3801,3828.22,ACTIVE
133,133,2024-08-04,3694.71,0.2245,0.4472,1652.45,ACTIVE
134,134,2020-11-23,6846.87,0.1961,0.2269,1553.37,ACTIVE
135,135,2017-05-13,9763.15,0.1817,0.3075,3002.49,ACTIVE
136,136,2021-07-21,6102.91,0.2254,0.3782,2308.36,ACTIVE
137,137,2021-03-23,7018.49,0.1747,0.0153,107.55,ACTIVE
138,138,2015-04-24,6780.91,0.2238,0.328,2224.34,ACTIVE
139,139,2015-04-24,4960.49,0.2728,0.4524,2244.01,ACTIVE
140,140,2020-06-26,10598.35,0.2114,0.3308,3506.01,ACTIVE
141,141,2024-08-04,6349.19,0.2236,0.3595,2282.53,ACTIVE
142,142,2018-05-08,4511.96,0.2297,0.5794,2614.26,ACTIVE
143,143,2018-01-08,8578.69,0.2236,0.5752,4934.39,ACTIVE
144,144,2016-01-19,6203.11,0.1982,0.2724,1689.61,ACTIVE
145,145,2015-09-21,7162.71,0.2065,0.3458,2477.21,ACTIVE
146,146,2018-11-04,4718.87,0.252,0.4281,2020.17,ACTIVE
147,147,2024-01-07,3576.32,0.2557,0.396,1416.28,ACTIVE
148,148,2022-08-15,6428.31,0.1978,0.152,976.91,ACTIVE
149,149,2017-12-09,8787.49,0.2226,0.4054,3562.31,ACTIVE
150,150,2019-02-02,3478.33,0.2514,0.3272,1138.04,ACTIVE
151,151,2020-09-24,3799.37,0.2406,0.5124,1946.9,ACTIVE
152,152,2021-01-22,4507.01,0.2156,0.4072,1835.05,ACTIVE
153,153,2018-01-08,5247.87,0.2426,0.2937,1541.51,ACTIVE
154,154,2020-11-23,4115.59,0.2386,0.4807,1978.39,ACTIVE
155,155,2023-07-11,5363.81,0.2215,0.2947,1580.89,ACTIVE
156,156,2015-05-24,4225.11,0.2099,0.1074,453.84,ACTIVE
157,157,2021-08-20,4754.03,0.2094,0.3331,1583.63,ACTIVE
158,158,2022-04-17,4031.13,0.2069,0.2638,1063.28,ACTIVE
159,159,2024-05-06,2395.56,0.2429,0.3546,849.49,CLOSED
160,160,2020-05-27,9996.29,0.2195,0.3192,3191.19,ACTIVE
161,161,2015-04-24,9031.21,0.2293,0.2959,2672.23,ACTIVE
162,162,2023-06-11,5967.83,0.236,0.2867,1710.79,ACTIVE
163,163,2022-08-15,7671.03,0.2241,0.3426,2627.73,ACTIVE
164,164,2023-04-12,3288.55,0.2379,0.2918,959.49,ACTIVE
165,165,2024-02-06,10233.35,0.2066,0.3444,3524.53,ACTIVE
166,166,2019-02-02,5743.4,0.238,0.3776,2168.85,ACTIVE
167,167,2022-02-16,6265.41,0.2279,0.2613,1636.96,ACTIVE
168,168,2017-08-11,5675.98,0.2278,0.4369,2479.77,ACTIVE
169,169,2021-01-22,3819.19,0.2107,0.4214,1609.33,ACTIVE
170,170,2018-10-05,3697.41,0.2234,0.4238,1566.84,ACTIVE
171,171,2024-03-07,2932.97,0.2508,0.4513,1323.75,ACTIVE
172,172,2021-10-19,5345.63,0.2246,0.3653,1952.62,ACTIVE
173,173,2020-12-23,3855.77,0.2882,0.5766,2223.37,ACTIVE
174,174,2024-06-05,9995.17,0.187,0.4174,4172.45,ACTIVE
175,175,2020-11-23,4309.66,0.2124,0.3913,1686.44,ACTIVE
176,176,2020-05-27,6115.84,0.2205,0.3345,2045.73,ACTIVE
177,177,2021-01-22,3713.58,0.2611,0.573,2127.89,ACTIVE
178,178,2020-01-28,4153.28,0.2159,0.2954,1226.73,ACTIVE
179,179,2017-03-14,5408.45,0.2341,0.3433,1856.76,ACTIVE
180,180,2017-06-12,6890.18,0.204,0.2682,1848.09,ACTIVE
181,181,2024-12-02,5338.52,0.2353,0.2469,1318.34,ACTIVE
182,182,2018-10-05,4965.58,0.2305,0.26,1291.3,ACTIVE
183,183,2016-02-18,3723.77,0.2136,0.203,755.88,ACTIVE
184,184,2016-06-17,3619.88,0.2585,0.353,1277.98,ACTIVE
185,185,2021-11-18,10169.81,0.2133,0.2761,2808.12,ACTIVE
186,186,2017-05-13,7625.85,0.266,0.5544,4228.01,ACTIVE
187,187,2017-02-12,3783.3,0.2103,0.3879,1467.69,ACTIVE
188,188,2021-06-21,4643.88,0.2467,0.2749,1276.62,ACTIVE
189,189,2016-06-17,8462.14,0.226,0.3207,2713.72,ACTIVE
190,190,2018-11-04,2989.63,0.2438,0.3986,1191.81,ACTIVE
191,191,2017-08-11,3756.72,0.2868,0.4585,1722.61,ACTIVE
192,192,2017-09-10,4355.13,0.2112,0.5206,2267.14,ACTIVE
193,193,2017-05-13,4268.48,0.2499,0.3921,1673.61,ACTIVE
194,194,2015-08-22,9991.45,0.2196,0.2569,2566.59,ACTIVE
195,195,2016-08-16,6583.78,0.2633,0.4817,3171.14,ACTIVE
196,196,2020-11-23,5724.94,0.2067,0.4494,2572.59,ACTIVE
197,197,2019-07-02,4612.36,0.2094,0.5323,2454.95,ACTIVE
198,198,2018-09-05,9247.61,0.2024,0.3538,3271.67,ACTIVE
199,199,2016-08-16,4355.99,0.1686,0.2209,962.26,ACTIVE
200,200,2021-02-21,3445.85,0.2384,0.5449,1877.56,ACTIVE
201,201,2021-12-18,3264.33,0.2272,0.4553,1486.31,ACTIVE
202,202,2017-10-10,9900.98,0.2169,0.3235,3203.06,ACTIVE
203,203,2015-08-22,6732.94,0.1901,0.3482,2344.29,ACTIVE
204,204,2016-01-19,6435.92,0.1741,0.404,2599.85,ACTIVE
205,205,2023-08-10,4624.43,0.2689,0.5938,2745.76,ACTIVE
206,206,2015-12-20,5399.9,0.214,0.3657,1974.73,ACTIVE
207,207,2017-04-13,7492.64,0.2008,0.2804,2100.85,ACTIVE
208,208,2023-07-11,9164.08,0.2082,0.3422,3136.3,ACTIVE
209,209,2025-01-01,7465.11,0.2421,0.3955,2952.62,ACTIVE
210,210,2023-01-12,5341.21,0.2381,0.4418,2359.89,ACTIVE
211,211,2015-11-20,3511.04,0.2502,0.3777,1325.97,ACTIVE
212,212,2017-08-11,8542.09,0.2258,0.4303,3675.52,ACTIVE
213,213,2019-05-03,5541.82,0.2368,0.5244,2906.32,ACTIVE
214,214,2018-11-04,4151.59,0.2148,0.4772,1981.19,ACTIVE
215,215,2020-12-23,1875.01,0.2705,0.5858,1098.33,ACTIVE
216,216,2016-02-18,4069.1,0.2161,0.4636,1886.39,CLOSED
217,217,2023-07-11,5687.13,0.2012,0.2602,1479.51,ACTIVE
218,218,2021-12-18,4950.89,0.2337,0.4295,2126.26,ACTIVE
219,219,2023-01-12,3140.1,0.2636,0.5285,1659.4,ACTIVE
220,220,2016-09-15,2221.37,0.2692,0.356,790.91,ACTIVE
221,221,2019-09-30,5192.65,0.2352,0.3745,1944.83,ACTIVE
222,222,2018-04-08,4560.01,0.2395,0.2701,1231.71,ACTIVE
223,223,2015-12-20,3303.05,0.241,0.3506,1158.07,ACTIVE
224,224,2023-02-11,2091.78,0.288,0.4301,899.57,ACTIVE
225,225,2015-07-23,12224.98,0.1667,0.1587,1940.1,ACTIVE
226,226,2023-10-09,8451.44,0.2306,0.3739,3160.02,ACTIVE
227,227,2017-08-11,5562.35,0.2452,0.4614,2566.31,ACTIVE
228,228,2018-02-07,7564.39,0.1965,0.2971,2247.07,ACTIVE
229,229,2016-11-14,10870.21,0.1849,0.1808,1965.35,ACTIVE
230,230,2023-06-11,5307.74,0.1894,0.0636,337.54,ACTIVE
231,231,2015-07-23,8236.97,0.2344,0.4813,3964.42,ACTIVE
232,232,2017-03-14,3930.2,0.2898,0.5599,2200.64,ACTIVE
233,233,2023-12-08,5923.29,0.2315,0.3897,2308.31,ACTIVE
234,234,2019-08-01,6194.77,0.1977,0.4092,2534.91,ACTIVE
235,235,2016-12-14,3820.1,0.227,0.3262,1245.99,ACTIVE
236,236,2020-04-27,4884.1,0.227,0.4995,2439.6,ACTIVE
237,237,2021-04-22,4485.36,0.2776,0.4832,2167.44,ACTIVE
238,238,2022-04-17,3783.42,0.1979,0.3311,1252.79,ACTIVE
239,239,2019-12-29,5881.38,0.2061,0.3479,2046.24,ACTIVE
240,240,2015-04-24,7087.14,0.2487,0.4321,3062.05,ACTIVE
241,241,2019-02-02,12505.46,0.1416,0.2941,3677.38,ACTIVE
242,242,2017-12-09,5346.52,0.2086,0.2691,1438.86,ACTIVE
243,243,2017-05-13,3088.51,0.2193,0.4451,1374.6,ACTIVE
244,244,2017-05-13,3445.49,0.2576,0.3195,1100.74,ACTIVE
245,245,2021-01-22,2236.32,0.2558,0.4501,1006.65,ACTIVE
246,246,2017-06-12,10368.25,0.2003,0.251,2602.84,ACTIVE
247,247,2021-10-19,3526.48,0.2756,0.5042,1778.16,ACTIVE
248,248,2019-04-03,8696.55,0.2413,0.4607,4006.86,ACTIVE
249,249,2022-01-17,4155.34,0.1925,0.386,1604.14,ACTIVE
250,250,2015-10-21,7763.8,0.2443,0.2586,2007.44,ACTIVE
251,251,2017-11-09,8673.46,0.1843,0.4132,3583.71,ACTIVE
252,252,2019-04-03,6180.21,0.2445,0.4182,2584.29,ACTIVE
253,253,2020-07-26,9931.12,0.1728,0.3419,3395.1,ACTIVE
254,254,2019-11-29,4195.87,0.2788,0.4087,1714.71,ACTIVE
255,255,2017-05-13,4183.24,0.1962,0.3514,1469.97,ACTIVE
256,256,2022-05-17,3529.16,0.2756,0.4974,1755.35,ACTIVE
257,257,2016-11-14,3791.79,0.1871,0.3457,1310.79,ACTIVE
258,258,2022-04-17,4115.8,0.2187,0.2521,1037.75,ACTIVE
259,259,2023-09-09,5974.02,0.2071,0.4779,2854.86,ACTIVE
260,260,2017-10-10,3402.91,0.2427,0.353,1201.09,ACTIVE
261,261,2018-01-08,5226.69,0.1938,0.1871,977.83,CLOSED
262,262,2021-09-19,4359.04,0.2456,0.4333,1888.66,ACTIVE
263,263,2018-09-05,5684.23,0.2085,0.3896,2214.45,ACTIVE
264,264,2017-11-09,7603.11,0.2267,0.4902,3727.01,ACTIVE
265,265,2017-04-13,6299.34,0.2079,0.4012,2527.57,ACTIVE
266,266,2015-08-22,5957.35,0.2059,0.2415,1438.92,ACTIVE
267,267,2016-08-16,8415.06,0.2214,0.2699,2271.47,ACTIVE
268,268,2020-09-24,6077.67,0.2395,0.249,1513.56,ACTIVE
269,269,2022-10-14,4689.41,0.2347,0.345,1617.77,ACTIVE
270,270,2024-02-06,4825.12,0.2333,0.3622,1747.57,CLOSED
271,271,2019-06-02,9804.51,0.1976,0.2862,2806.2,ACTIVE
272,272,2018-07-07,4845.94,0.2143,0.1827,885.15,ACTIVE
273,273,2018-04-08,6412.0,0.2369,0.2565,1644.39,ACTIVE
274,274,2024-12-02,5057.8,0.2315,0.496,2508.72,ACTIVE
275,275,2018-02-07,3313.43,0.2148,0.2399,794.84,ACTIVE
276,276,2017-04-13,5114.67,0.2432,0.3387,1732.34,CLOSED
277,277,2017-12-09,7344.46,0.2021,0.2451,1800.33,CLOSED
278,278,2019-10-30,9508.23,0.2134,0.3016,2868.14,ACTIVE
279,279,2024-12-02,10156.01,0.1829,0.409,4153.32,ACTIVE
280,280,2020-03-28,4691.17,0.2176,0.5087,2386.36,ACTIVE
281,281,2018-09-05,5814.22,0.2331,0.462,2686.08,ACTIVE
282,282,2019-06-02,10929.7,0.1677,0.183,2000.66,ACTIVE
283,283,2019-06-02,3080.03,0.2501,0.4711,1450.89,ACTIVE
284,284,2019-12-29,4020.71,0.2142,0.3192,1283.3,ACTIVE
285,285,2019-08-01,5539.44,0.2097,0.4164,2306.79,CLOSED
286,286,2021-11-18,5073.09,0.2243,0.4514,2290.15,ACTIVE
287,287,2019-02-02,5270.1,0.2453,0.4796,2527.58,ACTIVE
288,288,2022-04-17,8199.87,0.2104,0.4219,3459.8,ACTIVE
289,289,2020-03-28,2016.83,0.2518,0.2151,433.8,ACTIVE
290,290,2020-12-23,10061.6,0.1601,0.1469,1477.84,ACTIVE
291,291,2018-01-08,5011.24,0.2349,0.3039,1523.12,ACTIVE
292,292,2016-03-19,9782.61,0.2098,0.412,4030.59,ACTIVE
293,293,2018-11-04,2071.01,0.2583,0.5479,1134.67,ACTIVE
294,294,2023-09-09,5126.39,0.2404,0.345,1768.41,ACTIVE
295,295,2018-06-07,4947.34,0.2513,0.5003,2475.35,ACTIVE
296,296,2021-11-18,6499.59,0.2002,0.3167,2058.57,ACTIVE
297,297,2024-08-04,3654.75,0.2293,0.3974,1452.36,ACTIVE
298,298,2023-02-11,3440.59,0.2659,0.3608,1241.34,ACTIVE
299,299,2015-03-25,2906.67,0.2681,0.1961,570.04,CLOSED
300,300,2020-10-24,5794.48,0.223,0.2632,1524.83,ACTIVE
301,301,2023-01-12,7632.24,0.1831,0.1276,973.96,ACTIVE
302,302,2023-09-09,5039.28,0.223,0.5451,2746.74,ACTIVE
303,303,2018-08-06,6366.97,0.2304,0.261,1661.71,ACTIVE
304,304,2017-07-12,3230.28,0.2496,0.3758,1213.89,ACTIVE
305,305,2021-07-21,4140.23,0.2001,0.3857,1596.82,ACTIVE
306,306,2024-01-07,5236.57,0.2354,0.2084,1091.27,ACTIVE
307,307,2021-07-21,6821.74,0.1922,0.4722,3221.52,CLOSED
308,308,2018-07-07,6280.35,0.1795,0.1887,1185.39,ACTIVE
309,309,2023-12-08,6036.11,0.2278,0.5169,3120.3,ACTIVE
310,310,2022-05-17,8695.69,0.2324,0.3432,2984.1,ACTIVE
311,311,2025-01-01,6106.95,0.2939,0.5113,3122.52,ACTIVE
312,312,2020-05-27,5708.03,0.2329,0.2364,1349.12,ACTIVE
313,313,2023-05-12,3276.57,0.2265,0.4481,1468.38,ACTIVE
314,314,2023-02-11,2883.13,0.2689,0.435,1254.08,ACTIVE
315,315,2023-12-08,7933.3,0.183,0.2731,2166.5,ACTIVE
316,316,2017-11-09,4167.1,0.2403,0.4438,1849.18,ACTIVE
317,317,2020-03-28,4224.16,0.2594,0.388,1639.18,ACTIVE
318,318,2015-09-21,5649.53,0.2159,0.3153,1781.56,ACTIVE
319,319,2021-02-21,9231.51,0.2028,0.6518,6017.14,ACTIVE
320,320,2022-11-13,4293.54,0.2122,0.436,1872.02,ACTIVE
321,321,2023-01-12,6505.44,0.2448,0.2321,1510.15,ACTIVE
322,322,2015-08-22,9827.89,0.1755,0.3319,3261.5,ACTIVE
323,323,2019-04-03,4951.05,0.2476,0.4383,2169.89,ACTIVE
324,324,2021-10-19,4275.64,0.2269,0.3451,1475.35,CLOSED
325,325,2018-08-06,10596.05,0.1878,0.253,2681.28,ACTIVE
326,326,2019-08-01,6335.85,0.1924,0.277,1755.04,ACTIVE
327,327,2023-12-08,4086.93,0.2056,0.271,1107.53,ACTIVE
328,328,2018-02-07,5783.32,0.2236,0.3813,2204.94,ACTIVE
329,329,2023-11-08,3144.51,0.2674,0.5483,1724.25,ACTIVE
330,330,2023-02-11,4613.1,0.2444,0.5045,2327.5,ACTIVE
331,331,2018-01-08,10226.66,0.2016,0.1449,1482.2,ACTIVE
332,332,2020-08-25,4243.74,0.2466,0.3637,1543.29,ACTIVE
333,333,2022-11-13,8300.69,0.2454,0.7285,6046.83,ACTIVE
334,334,2024-05-06,5571.85,0.2143,0.2103,1171.49,ACTIVE
335,335,2019-03-04,8435.83,0.2123,0.3389,2859.29,ACTIVE
336,336,2018-03-09,4863.52,0.2407,0.1183,575.57,ACTIVE
337,337,2023-01-12,3915.09,0.2104,0.4619,1808.56,ACTIVE
338,338,2020-12-23,9841.72,0.2002,0.3888,3826.2,ACTIVE
339,339,2021-08-20,6636.32,0.2426,0.3641,2416.54,ACTIVE
340,340,2016-04-18,6526.9,0.2027,0.4897,3196.55,ACTIVE
341,341,2017-04-13,6280.59,0.2432,0.3593,2256.31,ACTIVE
342,342,2022-05-17,4141.48,0.2242,0.4675,1936.29,ACTIVE
343,343,2019-12-29,2993.54,0.2387,0.5414,1620.62,ACTIVE
344,344,2015-12-20,3510.48,0.2512,0.3574,1254.74,ACTIVE
345,345,2021-08-20,6905.24,0.2197,0.1733,1196.36,ACTIVE
346,346,2023-09-09,4159.95,0.2375,0.3526,1466.82,ACTIVE
347,347,2022-02-16,4098.14,0.239,0.4774,1956.3,ACTIVE
348,348,2019-02-02,6933.37,0.2554,0.6077,4213.21,ACTIVE
349,349,2015-03-25,5255.07,0.2354,0.3942,2071.44,ACTIVE
350,350,2022-01-17,9053.89,0.1913,0.3471,3142.25,ACTIVE
351,351,2024-06-05,4018.68,0.2157,0.2864,1150.99,ACTIVE
352,352,2023-04-12,3849.61,0.2534,0.4626,1780.68,ACTIVE
353,353,2020-12-23,5402.87,0.2236,0.3073,1660.54,ACTIVE
354,354,2024-02-06,3024.13,0.257,0.4927,1490.1,ACTIVE
355,355,2024-09-03,5774.27,0.2299,0.3792,2189.73,ACTIVE
356,356,2018-08-06,9174.37,0.188,0.2591,2377.28,ACTIVE
357,357,2016-12-14,3710.24,0.2624,0.4189,1554.25,ACTIVE
358,358,2022-10-14,5583.59,0.2122,0.394,2199.93,ACTIVE
359,359,2019-11-29,4336.28,0.2882,0.3809,1651.67,ACTIVE
360,360,2019-06-02,4021.33,0.2133,0.5163,2076.41,ACTIVE
361,361,2018-06-07,5212.15,0.2139,0.5773,3008.86,ACTIVE
362,362,2015-05-24,6542.86,0.1977,0.3359,2197.64,CLOSED
363,363,2016-04-18,5356.68,0.2231,0.3931,2105.53,ACTIVE
364,364,2021-12-18,6891.38,0.2049,0.2651,1826.73,ACTIVE
365,365,2015-05-24,5410.76,0.2316,0.4574,2474.88,ACTIVE
366,366,2024-09-03,6663.1,0.2007,0.2055,1369.06,ACTIVE
367,367,2015-07-23,10143.69,0.1841,0.1506,1527.99,ACTIVE
368,368,2023-08-10,5092.99,0.231,0.4132,2104.53,ACTIVE
369,369,2023-12-08,5260.18,0.2165,0.4069,2140.48,ACTIVE
